тип,найти,заменить,формы,пояснение
exact,далее,дальше,,
join,"он-лайн, он лайн",онлайн,,
special,"рубль, рубля, рублей, руб.",₽,,
exact,тыс.,тыс,,
exact,млн.,млн,,
spell,риэлтор,риелтор,,
spell,"кэшбэк, кешбек",кешбэк,,
join,"промо-код, промо код",промокод,,
phrase,первоначальный взнос,первый взнос,первоначального взноса=первого взноса; первоначальном взносе=первом взносе; первоначальному взносу=первому взносу; первоначальные взносы=первые взносы; первоначальным взносам=первым взносам; первоначальным взносом=первым взносом; первоначальными взносами=первыми взносами; первоначальных взносах=первых взносах; первоначальных взносов=первых взносов,
lemma,приобрести,купить,приобрела=купила; приобрели=купили; приобрело=купило; приобретена=куплена; приобретено=куплено; приобретены=куплены; приобрети=купи; приобретите=купите; приобрету=куплю; приобретут=купят; приобретшая=купившая; приобретшего=купившего; приобретшее=купившее; приобретшей=купившей; приобретшем=купившем; приобретшему=купившему; приобретшие=купившие; приобретший=купивший; приобретшим=купившим; приобретшими=купившими; приобретших=купивших; приобретшую=купившую; приобретя=купив; приобретём|приобретем=купим; приобретён|приобретен=куплен; приобретённая|приобретенная=купленная; приобретённого|приобретенного=купленного; приобретённое|приобретенное=купленное; приобретённой|приобретенной=купленной; приобретённом|приобретенном=купленном; приобретённому|приобретенному=купленному; приобретённую|приобретенную=купленную; приобретённые|приобретенные=купленные; приобретённый|приобретенный=купленный; приобретённым|приобретенным=купленным; приобретёнными|приобретенными=купленными; приобретённых|приобретенных=купленных; приобретёт|приобретет=купит; приобретёте|приобретете=купите; приобретёшь|приобретешь=купишь; приобрёл|приобрел=купил,
phrase,денежные средства,деньги,денежного средства=денег; денежное средство=деньги; денежном средстве=деньгах; денежному средству=деньгам; денежным средствам=деньгам; денежным средством=деньгами; денежными средствами=деньгами; денежных средств=денег; денежных средствах=деньгах,
